;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text;sentiment_roberta;score_roberta;sentiment_bert;score_bert
0;1518016870514925577;2022-04-23 23:59:59+00:00;SSCinvestment;False;;74;8;40;2;1;[{'text': 'nft', 'indices': [38, 42]}, {'text': 'crypto', 'indices': [43, 50]}];[];"Not concept art what do we think ???

#nft #crypto https://t.co/lwwTYP4Gkv";Neutral;0.737143337726593;Neutral;0.9727272391319275
1;1518016870414180354;2022-04-23 23:59:59+00:00;TheGo1denBull;False;Web3 ;1326;348;2977;0;0;[];[{'screen_name': 'PrimeAww', 'name': 'PrimeAww', 'id': 1371297813766709248, 'id_str': '1371297813766709248', 'indices': [0, 9]}];@PrimeAww Bro I feel like I'm old. The average age for Crypto investors is like 23 lol;Neutral;0.4583980441093445;Neutral;0.8322210907936096
2;1518016869944512513;2022-04-23 23:59:59+00:00;AaryaAdor;False;;143;68;652;0;50;[{'text': 'Terareum', 'indices': [13, 22]}];[{'screen_name': 'RDPrice', 'name': 'R.D. Price 🍀', 'id': 41407808, 'id_str': '41407808', 'indices': [3, 11]}];"#Terareum 🍀

🍀 Headquarters within 2 weeks
🍀Staffing begins ~85 Employees 
🍀 Terapool Coming in a few weeks
🍀 1 Qua… https://t.co/NqSKZV8Xwk";Neutral;0.7139857411384583;Neutral;0.9728684425354004
3;1518016869822726146;2022-04-23 23:59:59+00:00;definitelywildr;False;Wiami, Wilder World;645;1209;3289;2;0;[];[{'screen_name': 'crypto_navi', 'name': '🐰🍄 ⬡ navi ⬡ 🍄🧚', 'id': 1184296201023307776, 'id_str': '1184296201023307776', 'indices': [0, 12]}, {'screen_name': 'real_n3o', 'name': '0://wilder.n3o', 'id': 1231357729601544192, 'id_str': '1231357729601544192', 'indices': [13, 22]}];"@crypto_navi @real_n3o So far 
- wheels
- crafts
- Kicks S0
- cribs
- Beasts";Neutral;0.8167445063591003;Neutral;0.9685516953468323
4;1518016868275003392;2022-04-23 23:59:59+00:00;rutodazed2;False;big wins cutie ✨;1942;41;12440;0;7817;[];[{'screen_name': 'Bandit_giveaway', 'name': 'Bandit Giveaways', 'id': 158236259, 'id_str': '158236259', 'indices': [3, 19]}, {'screen_name': 'crypto_pulse', 'name': 'CRYPTOPULSE💥📻', 'id': 923890683143999489, 'id_str': '923890683143999489', 'indices': [64, 77]}];"$125 || 1 Winner || 24hrs

Rt &amp; follow @crypto_pulse";Neutral;0.6791503429412842;Neutral;0.562300443649292
5;1518016867943985152;2022-04-23 23:59:59+00:00;prettybpoy1983;False;;983;93;1946;0;0;[];[{'screen_name': 'oditapaulmoses', 'name': 'Paulmoses.wallet ☀️', 'id': 1720007120, 'id_str': '1720007120', 'indices': [0, 15]}, {'screen_name': 'TerkehhBsc', 'name': 'Terkehh #BSC', 'id': 1447069758839353344, 'id_str': '1447069758839353344', 'indices': [16, 27]}];@oditapaulmoses @TerkehhBsc This is one of the biggest scams in the Crypto market, but I don't understand why it ca… https://t.co/0HWxLfvWK8;Negative;0.902971625328064;Negative;0.9605829119682312
6;1518016867369164800;2022-04-23 23:59:59+00:00;dani_frias_foto;False;Metaverse;327;372;6911;0;1;[];[{'screen_name': 'ArtisticCrypto', 'name': 'ArtisticCrypto.eth ⟠', 'id': 46113908, 'id_str': '46113908', 'indices': [3, 18]}];Bitcoin 'tribalism' is holding the crypto industry back, Ripple CEO says https://t.co/gsU5bXKEmg;Neutral;0.5119541883468628;Neutral;0.555088460445404
7;1518016865809104896;2022-04-23 23:59:58+00:00;IU_WINS;False;;1108;15;3788;0;10443;[];[{'screen_name': 'DaJenus', 'name': 'Jenus - Crypto Master', 'id': 225731980, 'id_str': '225731980', 'indices': [3, 11]}, {'screen_name': 'finds_crypto', 'name': '💎 Crypto Finds', 'id': 1422837173456343042, 'id_str': '1422837173456343042', 'indices': [46, 59]}];"$75 ~ 5 Hours 

✅RT &amp; Follow @finds_crypto";Neutral;0.7689420580863953;Neutral;0.9458169937133789
8;1518016862797410309;2022-04-23 23:59:58+00:00;TheWeb3Bot;False;;2;364;31676;0;3;[{'text': 'VeteransUnite', 'indices': [38, 52]}, {'text': 'crypto', 'indices': [122, 129]}, {'text': 'Web3', 'indices': [130, 135]}];[{'screen_name': 'The_Crypto_Vet', 'name': 'James Rodriguez', 'id': 1506688405299675144, 'id_str': '1506688405299675144', 'indices': [3, 18]}];"What happens when #VeteransUnite with one common goal in mind?  

Follow these accounts to find out!

#crypto #Web3… https://t.co/CO1outy5Rl";Neutral;0.8390848636627197;Neutral;0.5058079361915588
9;1518016858607079424;2022-04-23 23:59:57+00:00;bigwinscutee;False;;2912;34;10072;0;10443;[];[{'screen_name': 'DaJenus', 'name': 'Jenus - Crypto Master', 'id': 225731980, 'id_str': '225731980', 'indices': [3, 11]}, {'screen_name': 'finds_crypto', 'name': '💎 Crypto Finds', 'id': 1422837173456343042, 'id_str': '1422837173456343042', 'indices': [46, 59]}];"$75 ~ 5 Hours 

✅RT &amp; Follow @finds_crypto";Neutral;0.7689420580863953;Neutral;0.9458169937133789
10;1518016858162614273;2022-04-23 23:59:57+00:00;damir_crypto;False;;23;4;38;0;13665;[{'text': 'ThunderCore', 'indices': [49, 61]}];[{'screen_name': 'ThunderProtocol', 'name': 'ThunderCore Official', 'id': 950110836042825728, 'id_str': '950110836042825728', 'indices': [3, 19]}];"Say hello to our brand new “#ThunderCore blue” and TT Wallet! 🔥

We are rebranding to match our new focus of leadin… https://t.co/GsZx1Yz0us";Positive;0.7686461806297302;Positive;0.8934441804885864
