;Author username;Author tag;Author avatar;Is bot;Date;Content;Mentions;Attachments;channel;sentiment_roberta;score_roberta
0;MattyG;#0926;https://cdn.discordapp.com/avatars/395296768449052673/1cf6b0339bdaa887e61601613af22c05.png;No;04/05/2022 08:06:52;Possibly The way Wagner leaked it the benefits may be announced sooner than later.;Cosmo#8795;;sa_askaquestion;Neutral;0.8767555952072144
1;Cosmo;#8795;https://cdn.discordapp.com/avatars/472484731867627533/bb51820c45e70cdf2e99b32c1b002589.png;No;04/05/2022 07:46:35;That’s probably so far down in the list of priorities you may as well just call it cosmetic;MattyG#0926;;sa_askaquestion;Negative;0.8050508499145508
2;MattyG;#0926;https://cdn.discordapp.com/avatars/395296768449052673/1cf6b0339bdaa887e61601613af22c05.png;No;04/05/2022 07:29:09;Wagner has said they will have a value We don’t know what yet.;Cosmo#8795;;sa_askaquestion;Neutral;0.9150899052619934
3;Cosmo;#8795;https://cdn.discordapp.com/avatars/472484731867627533/bb51820c45e70cdf2e99b32c1b002589.png;No;04/05/2022 07:01:21;Strictly cosmetic;svassi#5167;;sa_askaquestion;Neutral;0.8515593409538269
4;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;04/05/2022 05:42:09;Why can’t I swap my USDT back to SOL on phantom?;;;sa_askaquestion;Neutral;0.6887244582176208
5;svassi;#5167;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;04/05/2022 03:55:47;What are the different status's of the fleet such as veteran hardened and what do they do thank you!;;;sa_askaquestion;Neutral;0.8478510975837708
6;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;04/05/2022 03:48:19;Because it is their plan from the beggining You should read the papers because so many doubts won't be answered so easily;AEIOUy#4079;;sa_askaquestion;Negative;0.5675311088562012
7;AEIOUy;#4079;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;04/05/2022 03:35:37;Why are they just flooding the market with new ships that no one is buying anymore Can we move up the timeline for UE5 game play Beta or something then maybe focus on DAO?;;;sa_askaquestion;Negative;0.7142514586448669
8;Stantheman2113;#3774;https://cdn.discordapp.com/avatars/313029531340374016/15917464fc9570d9c95f357907419598.png;No;03/05/2022 23:08:30;yup that's what it was just tried to buy with usdc to test it out .023 sol fee wasn't on the estimated balance changes appreciate the quick thoughtful reply;;;sa_askaquestion;Neutral;0.6936533451080322
9;yaawn;#0001;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 22:57:50;always good to understand what's going on <:cheers:865053533337288735>;;;sa_askaquestion;Positive;0.8432387113571167
