;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta
0;1522254810556387328;https://twitter.com/twitter/statuses/1522254810556387328;2022-05-05 16:40:03+00:00;WatcherGuru;True;Texas, USA;20;876946;6877;4380;668;[{'text': 'LUNA', 'indices': [15, 20]}, {'text': 'Bitcoin', 'indices': [56, 64]}];popular;[];JUST IN: Terra #LUNA has purchased an additional 37,863 #Bitcoin ($1.5 billion) for its reserve.;JUST IN Terra #LUNA has purchased an additional 37,863 #Bitcoin ($1.5 billion for its reserve.;[{'label': 'Neutral', 'score': 0.917302131652832}];Neutral;0.917302131652832
1;1522280583841431553;https://twitter.com/twitter/statuses/1522280583841431553;2022-05-05 18:22:28+00:00;BitcoinMagazine;True;Nashville, TN;749;2413887;22699;5982;726;[{'text': 'BITCOIN', 'indices': [31, 39]}];popular;[];LUNA FOUNDATION NOW HOLDS MORE #BITCOIN THAN TESLA;LUNA FOUNDATION NOW HOLDS MORE #BITCOIN THAN TESLA;[{'label': 'Neutral', 'score': 0.7002902030944824}];Neutral;0.7002902030944824
2;1522261969063002113;https://twitter.com/twitter/statuses/1522261969063002113;2022-05-05 17:08:30+00:00;BitcoinMagazine;True;Nashville, TN;749;2413887;22699;5226;820;[{'text': 'bitcoin', 'indices': [47, 55]}];popular;[];BREAKING: Luna Foundation acquired 37,863 more #bitcoin worth $1.5 billion for UST stablecoin reserves;BREAKING Luna Foundation acquired 37,863 more #bitcoin worth $1.5 billion for UST stablecoin reserves;[{'label': 'Neutral', 'score': 0.7480195164680481}];Neutral;0.7480195164680481
3;1523090251824128002;https://twitter.com/twitter/statuses/1523090251824128002;2022-05-07 23:59:48+00:00;RuiDutra1979;False;;1892;8;3036;0;4;[{'text': 'CryptoKhabar', 'indices': [37, 50]}];recent;[{'screen_name': 'CoinTradeindia', 'name': 'Coin Trade', 'id': 1415902283536113664, 'id_str': '1415902283536113664', 'indices': [3, 18]}];"RT @CoinTradeindia: So, Here's today #CryptoKhabar [ May 7th, 2021]

Download App here:- https://t.co/EFj5Zzncxk 

Get an exciting reward b…";RT So Here's today #CryptoKhabar May 7th 2021] Download App here: https://t.co/EFj5Zzncxk Get an exciting reward b…;[{'label': 'Positive', 'score': 0.9157394170761108}];Positive;0.9157394170761108
4;1523090247159930880;https://twitter.com/twitter/statuses/1523090247159930880;2022-05-07 23:59:47+00:00;Rey7egh;False;@inear_dao;3271;1209;5988;0;166;[{'text': 'SDLC', 'indices': [40, 45]}, {'text': 'NFT', 'indices': [46, 50]}, {'text': 'OthersideLand', 'indices': [80, 94]}, {'text': 'BAYC', 'indices': [111, 116]}];recent;[{'screen_name': 'TMNTCrypto', 'name': 'TMNTCRYPTO.eth', 'id': 1400069048629608453, 'id_str': '1400069048629608453', 'indices': [3, 14]}];"RT @TMNTCrypto: 🔥 I am giving away this #SDLC #NFT to celebrate the purchase of #OthersideLand and joining the #BAYC community! 

How to en…";RT I am giving away this #SDLC #NFT to celebrate the purchase of #OthersideLand and joining the #BAYC community How to en…;[{'label': 'Positive', 'score': 0.7446640133857727}];Positive;0.7446640133857727
5;1523090242672029698;https://twitter.com/twitter/statuses/1523090242672029698;2022-05-07 23:59:46+00:00;JIN0CART;False;"she/her ; ‘02 ; +63";168;206;1351;0;14;[];recent;[{'screen_name': 'ddeonubs', 'name': 'ً', 'id': 1406456797456605185, 'id_str': '1406456797456605185', 'indices': [3, 12]}, {'screen_name': 'mailsbyluna', 'name': 'ً', 'id': 1495783583981576193, 'id_str': '1495783583981576193', 'indices': [55, 67]}, {'screen_name': 'shnmails', 'name': 'mika \U0001fab7', 'id': 1430621860027199489, 'id_str': '1430621860027199489', 'indices': [68, 77]}, {'screen_name': '0415hauls', 'name': 'calista \U0001fab7', 'id': 1482413968555933696, 'id_str': '1482413968555933696', 'indices': [78, 88]}, {'screen_name': 'jayonecart', 'name': 'ً', 'id': 1248597972071280641, 'id_str': '1248597972071280641', 'indices': [89, 100]}, {'screen_name': 'jinosmails', 'name': '\u200fً', 'id': 1435974238989479942, 'id_str': '1435974238989479942', 'indices': [101, 112]}, {'screen_name': '24thdae', 'name': 'ؘ', 'id': 1461362100077731840, 'id_str': '1461362100077731840', 'indices': [113, 121]}, {'screen_name': 'seulpoca', 'name': 'annie 🐚', 'id': 1522415203719155712, 'id_str': '1522415203719155712', 'indices': [122, 131]}, {'screen_name': 'nkrtz', 'name': 'ًًً', 'id': 1460269080716652545, 'id_str': '1460269080716652545', 'indices': [132, 138]}];"RT @ddeonubs: happy 2nd la luna. I love you always. 🤍

@mailsbyluna @shnmails @0415hauls @jayonecart @jinosmails @24thdae @seulpoca @nkrtz…";RT happy 2nd la luna I love you always 🤍 …;[{'label': 'Positive', 'score': 0.9866963028907776}];Positive;0.9866963028907776
6;1523090237529894912;https://twitter.com/twitter/statuses/1523090237529894912;2022-05-07 23:59:44+00:00;ADA_ONEVETCOTI;False;right here;630;532;1969;5;0;[];recent;[{'screen_name': 'CryptoIRELAND1', 'name': 'Darren N ☘🇮🇪', 'id': 3414808858, 'id_str': '3414808858', 'indices': [0, 15]}];"@CryptoIRELAND1 It’s everything $Sol -$Luna &amp; $Avax isn’t";It’s everything $Sol -$Luna &amp $Avax isn’t;[{'label': 'Neutral', 'score': 0.4445702135562897}];Neutral;0.4445702135562897
7;1523090222149369858;https://twitter.com/twitter/statuses/1523090222149369858;2022-05-07 23:59:41+00:00;tarnshawol;False;เสาหลักไฟนรก;280;157;98762;0;3130;[];recent;[{'screen_name': 'RobertEFuller', 'name': 'Robert E Fuller', 'id': 37940072, 'id_str': '37940072', 'indices': [3, 17]}];"RT @RobertEFuller: Luna the tawny owl has taken two rescued chicks under her wing🦉😍 
Watch her rush over to brood them the moment she sees…";RT Luna the tawny owl has taken two rescued chicks under her wing🦉 Watch her rush over to brood them the moment she sees…;[{'label': 'Neutral', 'score': 0.7465839982032776}];Neutral;0.7465839982032776
8;1523090200679038977;https://twitter.com/twitter/statuses/1523090200679038977;2022-05-07 23:59:36+00:00;Luna_iwi;False;Hello :);302;11;5345;0;7992;[];recent;[{'screen_name': 'Actias_alt', 'name': 'catari 💿🟥', 'id': 1281621367180324865, 'id_str': '1281621367180324865', 'indices': [3, 14]}];RT @Actias_alt: why did lil nas x show up in full asgore cosplay https://t.co/VzU7P38fJX;RT _alt why did lil nas x show up in full asgore cosplay https://t.co/VzU7P38fJX;[{'label': 'Neutral', 'score': 0.8295335173606873}];Neutral;0.8295335173606873
9;1523090181100032000;https://twitter.com/twitter/statuses/1523090181100032000;2022-05-07 23:59:31+00:00;seulpoca;False;"for ggs !🐰🩰
— mainly for wonyoung and joy .ᐟ
🌷🦢 she / her ♡ teen";108;105;261;0;14;[];recent;[{'screen_name': 'ddeonubs', 'name': 'ً', 'id': 1406456797456605185, 'id_str': '1406456797456605185', 'indices': [3, 12]}, {'screen_name': 'mailsbyluna', 'name': 'ً', 'id': 1495783583981576193, 'id_str': '1495783583981576193', 'indices': [55, 67]}, {'screen_name': 'shnmails', 'name': 'mika \U0001fab7', 'id': 1430621860027199489, 'id_str': '1430621860027199489', 'indices': [68, 77]}, {'screen_name': '0415hauls', 'name': 'calista \U0001fab7', 'id': 1482413968555933696, 'id_str': '1482413968555933696', 'indices': [78, 88]}, {'screen_name': 'jayonecart', 'name': 'ً', 'id': 1248597972071280641, 'id_str': '1248597972071280641', 'indices': [89, 100]}, {'screen_name': 'jinosmails', 'name': '\u200fً', 'id': 1435974238989479942, 'id_str': '1435974238989479942', 'indices': [101, 112]}, {'screen_name': '24thdae', 'name': 'ؘ', 'id': 1461362100077731840, 'id_str': '1461362100077731840', 'indices': [113, 121]}, {'screen_name': 'seulpoca', 'name': 'annie 🐚', 'id': 1522415203719155712, 'id_str': '1522415203719155712', 'indices': [122, 131]}, {'screen_name': 'nkrtz', 'name': 'ًًً', 'id': 1460269080716652545, 'id_str': '1460269080716652545', 'indices': [132, 138]}];"RT @ddeonubs: happy 2nd la luna. I love you always. 🤍

@mailsbyluna @shnmails @0415hauls @jayonecart @jinosmails @24thdae @seulpoca @nkrtz…";RT happy 2nd la luna I love you always 🤍 …;[{'label': 'Positive', 'score': 0.9866963028907776}];Positive;0.9866963028907776
