;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
0;1523975435553435651;https://twitter.com/twitter/statuses/1523975435553435651;2022-05-10 10:37:12+00:00;IOHK_Charles;True;Boulder, Colorado;1043;907046;18072;12480;1357;[];popular;[];Should I buy some Luna for negative correlation? https://t.co/iFeHJTSudM;Should I buy some Luna for negative correlation https://t.co/iFeHJTSudM;[{'label': 'Neutral', 'score': 0.7383639812469482}];Neutral;0.7383639812469482;2022-05-10
664;1523867641999466496;https://twitter.com/twitter/statuses/1523867641999466496;2022-05-10 03:28:52+00:00;PvtEquity420;False;New York, NY;752;657;2992;29;0;[];recent;[{'screen_name': 'arthuryeti', 'name': 'Arthur Yeti 🧙\u200d♀️', 'id': 47754498, 'id_str': '47754498', 'indices': [0, 11]}];@arthuryeti Me too fren 12k luna for me. Let’s rebuild;Me too fren 12k luna for me Let’s rebuild;[{'label': 'Positive', 'score': 0.5946717262268066}];Positive;0.5946717262268066;2022-05-10
722;1523867393172332544;https://twitter.com/twitter/statuses/1523867393172332544;2022-05-10 03:27:53+00:00;lejimmy;False;NFA;962;16193;5022;32;0;[];recent;[{'screen_name': 'arthuryeti', 'name': 'Arthur Yeti 🧙\u200d♀️', 'id': 47754498, 'id_str': '47754498', 'indices': [0, 11]}];"@arthuryeti Bullish on upcoming Terra UI/UX. 

Arthur needs to rebuild his LUNA stack!";Bullish on upcoming Terra UI/UX Arthur needs to rebuild his LUNA stack!;[{'label': 'Neutral', 'score': 0.5089955925941467}];Neutral;0.5089955925941467;2022-05-10
735;1523867364617457664;https://twitter.com/twitter/statuses/1523867364617457664;2022-05-10 03:27:46+00:00;hzl123331;False;香港;337;328;514;47;5;[];recent;[];"May 10 Snapshot:

Today I've learnt -

1 GST = 1 GST
1 GMT = 1 GMT
1 dollar (UST) = 70 cents 😥
And $Luna freefallin… https://t.co/jEZUCa6utB";May 10 Snapshot: Today I've learnt - 1 GST 1 GST 1 GMT 1 GMT 1 dollar (UST 70 cents 😥 And $Luna freefallin https://t.co/jEZUCa6utB;[{'label': 'Neutral', 'score': 0.6928349137306213}];Neutral;0.6928349137306213;2022-05-10
691;1523867520033345536;https://twitter.com/twitter/statuses/1523867520033345536;2022-05-10 03:28:23+00:00;J_Mark_Downing;False;;362;616;4378;749;39;[{'text': 'LUNAtics', 'indices': [0, 9]}];recent;[];#LUNAtics if any of you are in financial trouble after this crash feel free to dm me for help $luna;#LUNAtics if any of you are in financial trouble after this crash feel free to dm me for help $luna;[{'label': 'Neutral', 'score': 0.5302549600601196}];Neutral;0.5302549600601196;2022-05-10
700;1523867456208576513;https://twitter.com/twitter/statuses/1523867456208576513;2022-05-10 03:28:08+00:00;martypartymusic;True;On Chain;18519;35341;57442;20;2;[];recent;[];Luna will recover great opportunity;Luna will recover great opportunity;[{'label': 'Positive', 'score': 0.9649084210395813}];Positive;0.9649084210395813;2022-05-10
715;1523867416748470272;https://twitter.com/twitter/statuses/1523867416748470272;2022-05-10 03:27:58+00:00;russmonk;False;Tokyo;543;10376;30549;15;0;[];recent;[];Luna billionaire shenanigans, depegging and price collapse, the folly of putting a target on your head in an advers… https://t.co/lpBTXoMrQG;Luna billionaire shenanigans depegging and price collapse the folly of putting a target on your head in an advers https://t.co/lpBTXoMrQG;[{'label': 'Negative', 'score': 0.6590068936347961}];Negative;0.6590068936347961;2022-05-10
549;1523868015250767872;https://twitter.com/twitter/statuses/1523868015250767872;2022-05-10 03:30:21+00:00;Crypto_Chad_1;False;;3086;11264;8732;10;0;[];recent;[];"Do Kwon rugged $LUNA for $1.5bn

No capital injection is coming";Do Kwon rugged $LUNA for $1.5bn No capital injection is coming;[{'label': 'Neutral', 'score': 0.8561211228370667}];Neutral;0.8561211228370667;2022-05-10
556;1523867973802676224;https://twitter.com/twitter/statuses/1523867973802676224;2022-05-10 03:30:11+00:00;BBhodler;False;;1416;5690;4247;574;28;[];recent;[];"People longing $LUNA

what is going through your mind rn?

The amount of minting of $LUNA to dump in the open marke… https://t.co/a1Fa6a04Qa";People longing $LUNA what is going through your mind rn? The amount of minting of $LUNA to dump in the open marke https://t.co/a1Fa6a04Qa;[{'label': 'Neutral', 'score': 0.6680276989936829}];Neutral;0.6680276989936829;2022-05-10
624;1523867744751566849;https://twitter.com/twitter/statuses/1523867744751566849;2022-05-10 03:29:17+00:00;nic__carter;True;Isle of Yap;2961;324361;46916;69;3;[];recent;[{'screen_name': 'THORChain', 'name': 'THORChain #THORFI', 'id': 1012021170244161536, 'id_str': '1012021170244161536', 'indices': [0, 10]}];@THORChain the limits on the market module just mean that holders take a discount and exit on liquid markets instea… https://t.co/TDqowfojzy;the limits on the market module just mean that holders take a discount and exit on liquid markets instea https://t.co/TDqowfojzy;[{'label': 'Neutral', 'score': 0.5735864043235779}];Neutral;0.5735864043235779;2022-05-10
