;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
877;1521165577003405313;https://twitter.com/twitter/statuses/1521165577003405313;2022-05-02 16:31:50+00:00;0xChiRho;False;;311;425;2179;8;2;[];recent;[];"Last month $OLO was trading around 0.4c, and ran up to 1.2c+ after the incentives announcement for April. 

We're b… https://t.co/42wcwMSgaf";Last month $OLO was trading around 0.4c and ran up to 1.2c after the incentives announcement for April We're b https://t.co/42wcwMSgaf;[{'label': 'Neutral', 'score': 0.8031790256500244}];Neutral;0.8031790256500244;2022-05-02
898;1521112281253302273;https://twitter.com/twitter/statuses/1521112281253302273;2022-05-02 13:00:03+00:00;GodsOfOHMNFT;False;Olympus;130;169;265;16;2;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [65, 76]}, {'screen_name': 'JeffExtor', 'name': 'JeffX (3, 3)', 'id': 2957819986, 'id_str': '2957819986', 'indices': [92, 102]}];"We are happy to present our first (1/6) custom NFTs based on the @OlympusDAO OGs, featuring @JeffExtor 

Pieces wil… https://t.co/G6kRqU2cY9";We are happy to present our first (1/6 custom NFTs based on the OGs featuring Pieces wil https://t.co/G6kRqU2cY9;[{'label': 'Positive', 'score': 0.9478964805603027}];Positive;0.9478964805603027;2022-05-02
849;1521233323879632896;https://twitter.com/twitter/statuses/1521233323879632896;2022-05-02 21:01:02+00:00;Spirit_Swap;False;FantomOpera;391;100065;3047;7;0;[];recent;[];"3/

Links:

Debank:
https://t.co/ZKXOVaIY9p

Strudel Discord:
https://t.co/uu8Iufkfyk

Submission forms:… https://t.co/YgIWWWI4nZ";3/ Links: Debank: https://t.co/ZKXOVaIY9p Strudel Discord: https://t.co/uu8Iufkfyk Submission forms: https://t.co/YgIWWWI4nZ;[{'label': 'Neutral', 'score': 0.8737937808036804}];Neutral;0.8737937808036804;2022-05-02
861;1521197173219770368;https://twitter.com/twitter/statuses/1521197173219770368;2022-05-02 18:37:23+00:00;OlympusDAO;False;(3, 3);1;153864;1320;183;30;[];recent;[];"Olympus 🤝 Boba

Keep an eye out Ohmies, we are planning something exciting for this expansion 🍵 https://t.co/X2EpFMIwB6";Olympus Boba Keep an eye out Ohmies we are planning something exciting for this expansion https://t.co/X2EpFMIwB6;[{'label': 'Positive', 'score': 0.9462645649909973}];Positive;0.9462645649909973;2022-05-02
944;1520990395349573632;https://twitter.com/twitter/statuses/1520990395349573632;2022-05-02 04:55:43+00:00;BobaCommunity;False;;242;3093;614;13;2;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [8, 19]}];Welcome @OlympusDAO 🎉 https://t.co/8EGn6Ccugl;Welcome https://t.co/8EGn6Ccugl;[{'label': 'Positive', 'score': 0.6970052123069763}];Positive;0.6970052123069763;2022-05-02
976;1520925789058859009;https://twitter.com/twitter/statuses/1520925789058859009;2022-05-02 00:39:00+00:00;bobanetwork;False;Layer 2;3281;359673;2722;170;53;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [24, 35]}];"We're happy to announce @OlympusDAO joining the Boba Ecosystem! 

Olympus is building OHM, a community-owned, decen… https://t.co/1PZJiipqfq";We're happy to announce joining the Boba Ecosystem Olympus is building OHM a community-owned decen https://t.co/1PZJiipqfq;[{'label': 'Positive', 'score': 0.9715735912322998}];Positive;0.9715735912322998;2022-05-02
965;1520942258140303361;https://twitter.com/twitter/statuses/1520942258140303361;2022-05-02 01:44:26+00:00;brodidyoucallus;False;;6;176;859;7;0;[];recent;[{'screen_name': 'TheNurseGreg', 'name': 'thenursegreg', 'id': 776420477182935040, 'id_str': '776420477182935040', 'indices': [0, 13]}, {'screen_name': 'bobanetwork', 'name': 'Boba Network ($BOBA)', 'id': 831847934534746114, 'id_str': '831847934534746114', 'indices': [14, 26]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [27, 38]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [84, 95]}];@TheNurseGreg @bobanetwork @OlympusDAO damn it i was wrong.. it's not chainlink but @OlympusDAO is huge too!;damn it i was wrong. it's not chainlink but is huge too!;[{'label': 'Negative', 'score': 0.6313914656639099}];Negative;0.6313914656639099;2022-05-02
921;1521066970065432576;https://twitter.com/twitter/statuses/1521066970065432576;2022-05-02 10:00:00+00:00;DeusDao;False;web3;201;15507;1062;39;6;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [20, 31]}];"The recent AMA with @OlympusDAO is now available on our Youtube 📺

Find out everything you need to know about the D… https://t.co/uKKekSxGff";The recent AMA with is now available on our Youtube 📺 Find out everything you need to know about the D https://t.co/uKKekSxGff;[{'label': 'Neutral', 'score': 0.7551437616348267}];Neutral;0.7551437616348267;2022-05-02
938;1521007716113821696;https://twitter.com/twitter/statuses/1521007716113821696;2022-05-02 06:04:33+00:00;ETH_Daily;False;;119;12891;1772;53;7;[{'text': 'L222', 'indices': [99, 104]}];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [2, 13]}, {'screen_name': 'bobanetwork', 'name': 'Boba Network is going to Permissionless', 'id': 831847934534746114, 'id_str': '831847934534746114', 'indices': [75, 87]}];"✨ @OlympusDAO $OHM, the decentralized reserve currency of DeFi, has joined @bobanetwork ecosystem

#L222 https://t.co/XoaFwVyIuV";$OHM the decentralized reserve currency of DeFi has joined ecosystem #L222 https://t.co/XoaFwVyIuV;[{'label': 'Positive', 'score': 0.5035841464996338}];Positive;0.5035841464996338;2022-05-02
771;1521593357776179204;https://twitter.com/twitter/statuses/1521593357776179204;2022-05-03 20:51:40+00:00;SandclockOrg;False;https://discord.gg/TMtbPQvWJV;31;14570;1440;73;8;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [19, 30]}];Just topped up our @OlympusDAO Pro bonds! Go go go.;Just topped up our Pro bonds Go go go.;[{'label': 'Positive', 'score': 0.7611426115036011}];Positive;0.7611426115036011;2022-05-03
