;id;url;created_at;author_id;conversation_id;in_reply_to_user_id;reply_count;like_count;retweet_count;quote_count;context_annotations;raw_text;type;text;sentiment_dict;sentiment_roberta;score_roberta;date
327;1524861404502802442;https://twitter.com/twitter/statuses/1524861404502802442;2022-05-12 21:17:44+00:00;1480278978946650115;1524861404502802442;;339;372;388;1;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"🎉Giving away:

🎁Prize:
🎁0.5 SOL
🎁10 WL Spots for @KakasuSOL

📋To enter:
1️⃣Follow @KakasuSOL, @nftgiveawaysol
2️⃣Like and RT
3⃣Tag 3 friends

✨Bonus entry
✨Join: https://t.co/EYRMUNX0Xw

🤞Best of luck!
⏳24h
#Solana #NOTIGANG #SolanaNFTs #NFT #NFTCommunity https://t.co/DEl9MQ5EnP";recent;🎉Giving away: 🎁Prize: 🎁0.5 SOL 🎁10 WL Spots for 📋To enter: 1️⃣Follow 2️⃣Like and RT 3⃣Tag 3 friends ✨Bonus entry ✨Join https://t.co/EYRMUNX0Xw 🤞Best of luck! ⏳24h #Solana #NOTIGANG #SolanaNFTs #NFT #NFTCommunity https://t.co/DEl9MQ5EnP;[{'label': 'Positive', 'score': 0.8210418224334717}];Positive;0.8210418224334717;2022-05-12
279;1524846221285806090;https://twitter.com/twitter/statuses/1524846221285806090;2022-05-12 20:17:24+00:00;1484826729243885571;1524846221285806090;;11;84;12;0;[];"you belong to me forever😈😈🤘🔱
🌈😜

https://t.co/VKGiS5caYM
#WAGBO @okaybears #OkayBears https://t.co/qJb9nT6soT";recent;you belong to me forever😈😈🤘🔱 🌈😜 https://t.co/VKGiS5caYM #WAGBO #OkayBears https://t.co/qJb9nT6soT;[{'label': 'Positive', 'score': 0.8622415065765381}];Positive;0.8622415065765381;2022-05-12
401;1524891961223548930;https://twitter.com/twitter/statuses/1524891961223548930;2022-05-12 23:19:09+00:00;9532092;1524891961223548930;;42;253;24;5;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1471222864976089089', 'name': 'Avalanche cryptocurrency'}}];"7AM where I am, couldn't sleep. In my mind, #Terra eco still worth $30-40B 😃

So far, there's interest for the ecosystem to move to:

1 @Cosmos eco: @SecretNetwork @JunoNetwork @osmosiszone @InjectiveLabs @StargazeZone (NFTs)
2 @solana
2 @avalancheavax
3 @NEARProtocol";recent;7AM where I am couldn't sleep In my mind #Terra eco still worth $30-40B 😃 So far there's interest for the ecosystem to move to: 1 eco (NFTs) 2 2 3;[{'label': 'Positive', 'score': 0.8804765939712524}];Positive;0.8804765939712524;2022-05-12
429;1524891537259352069;https://twitter.com/twitter/statuses/1524891537259352069;2022-05-12 23:17:28+00:00;2933805082;1524890993211805696;1.4213439205422572e+18;4;54;0;0;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}];"@12yearoldwithcc Eth 
Solana 

Right?";recent;Eth Solana Right?;[{'label': 'Neutral', 'score': 0.9245802164077759}];Neutral;0.9245802164077759;2022-05-12
396;1524876267002134528;https://twitter.com/twitter/statuses/1524876267002134528;2022-05-12 22:16:47+00:00;1381805173589217281;1524876267002134528;;1;55;2;0;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"DeadGod #5119 (Rank #3518) just sold for 220.00 S◎L ($9495.20) 

#DeGods #SolanaNFTs #Solana #NFT 
https://t.co/TgU3Wtsusp https://t.co/4tWlDAe9yi";recent;DeadGod #5119 (Rank #3518 just sold for 220.00 S◎L ($9495.20 #DeGods #SolanaNFTs #Solana #NFT https://t.co/TgU3Wtsusp https://t.co/4tWlDAe9yi;[{'label': 'Neutral', 'score': 0.8591417670249939}];Neutral;0.8591417670249939;2022-05-12
357;1524876758931103756;https://twitter.com/twitter/statuses/1524876758931103756;2022-05-12 22:18:44+00:00;1182228742950838273;1524876758931103756;;50;46;27;4;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"5x @GenesisSharks WL spots 

▶️ Follow @GenesisSharks @officialsweetch 
▶️ Like + RT
▶️ Tag your friends (extra tag = extra entry)

Good luck ❤️

Winners in 24 hours
#NFT #NFTs #NFTCommunity #solana https://t.co/FcvNsybPFA";recent;5x WL spots ▶ Follow ▶ Like RT ▶ Tag your friends (extra tag extra entry) Good luck ❤️ Winners in 24 hours #NFT #NFTs #NFTCommunity #solana https://t.co/FcvNsybPFA;[{'label': 'Positive', 'score': 0.9185254573822021}];Positive;0.9185254573822021;2022-05-12
369;1524876610075103232;https://twitter.com/twitter/statuses/1524876610075103232;2022-05-12 22:18:09+00:00;19961846;1524876610075103232;;14;112;30;2;[];I don’t care if $btc $eth $sol or any of my bags goes to zero like #luna. Not cause I’m hedged in USDC but because I’m a bad ass mother fucker who does this shit for the culture. If u can’t handle the volatility get off the roller coaster. This game isn’t for everyone #Solana;recent;I don’t care if $btc $eth $sol or any of my bags goes to zero like #luna Not cause I’m hedged in USDC but because I’m a bad ass mother fucker who does this shit for the culture If u can’t handle the volatility get off the roller coaster This game isn’t for everyone #Solana;[{'label': 'Negative', 'score': 0.8113825917243958}];Negative;0.8113825917243958;2022-05-12
55;1524786257083084800;https://twitter.com/twitter/statuses/1524786257083084800;2022-05-12 16:19:07+00:00;838352737;1524786257083084800;;3;40;19;0;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}];Fuzzing Solana - https://t.co/ru4J4d0HDx;recent;Fuzzing Solana https://t.co/ru4J4d0HDx;[{'label': 'Neutral', 'score': 0.5751683115959167}];Neutral;0.5751683115959167;2022-05-12
9;1524771059622453254;https://twitter.com/twitter/statuses/1524771059622453254;2022-05-12 15:18:44+00:00;1479147735181836292;1524771059622453254;;2;36;17;9;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"AUCTION
LIVE ⚡️
-
Game Over // 11th drop in Psychedelism Series 
Available on @formfunction
 
Start bid: 1 ◎
24 hour auction • 10 minute end time

🔗 https://t.co/srhZpsbiCP

RTs appreciated.💛
👤🔫

#Solana #SolanaNFTs #NFTs #nftcollectors #nftart #NFTCommunity #NFTdrops #SOL https://t.co/Vq6D0jnJuH";recent;AUCTION LIVE ⚡️ - Game Over / 11th drop in Psychedelism Series Available on Start bid 1 ◎ 24 hour auction 10 minute end time https://t.co/srhZpsbiCP RTs appreciated.💛 👤🔫 #Solana #SolanaNFTs #NFTs #nftcollectors #nftart #NFTCommunity #NFTdrops #SOL https://t.co/Vq6D0jnJuH;[{'label': 'Neutral', 'score': 0.7122757434844971}];Neutral;0.7122757434844971;2022-05-12
43;1524770767963148293;https://twitter.com/twitter/statuses/1524770767963148293;2022-05-12 15:17:34+00:00;985986003419590656;1524770767963148293;;76;984;114;9;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1007361429752594432', 'name': 'Ethereum cryptocurrency', 'description': 'Ethereum Cryptocurrency'}}];Solana will be the Ethereum of last cycle, no need to rush though.;recent;Solana will be the Ethereum of last cycle no need to rush though.;[{'label': 'Neutral', 'score': 0.6285249590873718}];Neutral;0.6285249590873718;2022-05-12
