;id;url;created_at;author_id;conversation_id;in_reply_to_user_id;reply_count;like_count;retweet_count;quote_count;context_annotations;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
1041;1523772232853377024;https://twitter.com/twitter/statuses/1523772232853377024;2022-05-09 21:09:45+00:00;1488975065442045952;1523772232853377024;;3;14;4;0;[];"Top 3 strategies on which #STEPN sneaker to buy. 👟 $GST $GMT

https://t.co/JVS9HO0C5e https://t.co/FMD6ewjsHF";Top 3 strategies on which #STEPN sneaker to buy $GST $GMT https://t.co/JVS9HO0C5e https://t.co/FMD6ewjsHF;[{'label': 'Neutral', 'score': 0.8573859930038452}];Neutral;0.8573859930038452;2022-05-09
1037;1523772565415919616;https://twitter.com/twitter/statuses/1523772565415919616;2022-05-09 21:11:04+00:00;1334645338536341505;1523478456088281089;1.5179737162059817e+18;0;4;0;0;[];@soldrei I Appreciate the code! Time to get #STEPN;I Appreciate the code Time to get #STEPN;[{'label': 'Positive', 'score': 0.9677672982215881}];Positive;0.9677672982215881;2022-05-09
1157;1523785422517989376;https://twitter.com/twitter/statuses/1523785422517989376;2022-05-09 22:02:09+00:00;17715312;1523785422517989376;;3;7;1;0;[];"yay @0xAquaman YOU WIN! 

DM ME!

#stepnactivationcode #stepngiveaway #stepn https://t.co/sTCBThgr93 https://t.co/8twoCtHYYF";yay YOU WIN DM ME! #stepnactivationcode #stepngiveaway #stepn https://t.co/sTCBThgr93 https://t.co/8twoCtHYYF;[{'label': 'Positive', 'score': 0.9683283567428589}];Positive;0.9683283567428589;2022-05-09
1153;1523785595188699136;https://twitter.com/twitter/statuses/1523785595188699136;2022-05-09 22:02:51+00:00;3096975460;1523785593292947456;3096975460.0;0;6;0;0;[];I was able to load up on this huge dip for long term projects I believe in thanks mainly to my extra stepn income.;I was able to load up on this huge dip for long term projects I believe in thanks mainly to my extra stepn income.;[{'label': 'Positive', 'score': 0.9386712908744812}];Positive;0.9386712908744812;2022-05-09
1180;1523784366396116992;https://twitter.com/twitter/statuses/1523784366396116992;2022-05-09 21:57:58+00:00;1517778203271651328;1523784366396116992;;1;9;0;0;[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"Jogger lvl 19 👟

Energy 7,4 ⚡

Gst 56,24 💵

#STEPN #GST #GMT #Move2Earn #cryptocurrency #NFTProjects #NFT #activatorcodestepn https://t.co/ztI95p0xLN";Jogger lvl 19 👟 Energy 7,4 ⚡ Gst 56,24 💵 #STEPN #GST #GMT #Move2Earn #cryptocurrency #NFTProjects #NFT #activatorcodestepn https://t.co/ztI95p0xLN;[{'label': 'Neutral', 'score': 0.8044347763061523}];Neutral;0.8044347763061523;2022-05-09
1177;1523784507132104704;https://twitter.com/twitter/statuses/1523784507132104704;2022-05-09 21:58:31+00:00;1397905734264786945;1523784507132104704;;0;4;0;0;[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}];#MoveToEarn #StepN #Move2Earn #NFT #m2e #GMT #RideToEarn #GST #Ride2Earn #PlayToEarn #GoRide #P2E $RIDE @GoRideBSC #CryptoTrading https://t.co/iUq4fXwFYn;#MoveToEarn #StepN #Move2Earn #NFT #m2e #GMT #RideToEarn #GST #Ride2Earn #PlayToEarn #GoRide #P2E $RIDE #CryptoTrading https://t.co/iUq4fXwFYn;[{'label': 'Positive', 'score': 0.514736533164978}];Positive;0.514736533164978;2022-05-09
1138;1523780393383903232;https://twitter.com/twitter/statuses/1523780393383903232;2022-05-09 21:42:10+00:00;1386592298117468160;1523780393383903232;;1;5;0;0;"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]";"Awesome Project And Good Potential 😊

@miquelhenry 
@manav22 
@mabsvalle 

#STEPN #Giveway #Gensis #NFT https://t.co/4UWbUJKMZh";Awesome Project And Good Potential 😊 #STEPN #Giveway #Gensis #NFT https://t.co/4UWbUJKMZh;[{'label': 'Positive', 'score': 0.9758105278015137}];Positive;0.9758105278015137;2022-05-09
1100;1523781933976629248;https://twitter.com/twitter/statuses/1523781933976629248;2022-05-09 21:48:18+00:00;1120635476543623168;1523510929614270464;1.4390682750406533e+18;11;30;4;4;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1372588659346612225', 'name': 'Binance'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}];@Stepnofficial @solana @binance @MetaMask I started STEPN a fewer days ago. This was my first time to buy NFT!;I started STEPN a fewer days ago This was my first time to buy NFT!;[{'label': 'Positive', 'score': 0.7395740151405334}];Positive;0.7395740151405334;2022-05-09
1097;1523776075217575937;https://twitter.com/twitter/statuses/1523776075217575937;2022-05-09 21:25:01+00:00;1357916190;1523510929614270464;1.4390682750406533e+18;0;8;1;0;[];"@Stepnofficial @TheSerrano_ @kvng_breezy20 @MuscleBH1

We A STEPN ahead";_breezy20 We A STEPN ahead;[{'label': 'Positive', 'score': 0.5509512424468994}];Positive;0.5509512424468994;2022-05-09
1093;1523776181530951681;https://twitter.com/twitter/statuses/1523776181530951681;2022-05-09 21:25:26+00:00;1508858322807668742;1523776181530951681;;0;5;2;0;[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1372588659346612225', 'name': 'Binance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"🤩New web3.0 style, answer to earn!
Using the character NFT to answer questions and win prizes. 
🚀Follow Millionaire Land @answer2earn 
👉Get rewards: https://t.co/xDqp2UytBH

#NFT #Web3 #gamefi #answer2earn #BSC #stepn #MoveToEarn #answertoearn";🤩New web3.0 style answer to earn! Using the character NFT to answer questions and win prizes 🚀Follow Millionaire Land 👉Get rewards https://t.co/xDqp2UytBH #NFT #Web3 #gamefi #answer2earn #BSC #stepn #MoveToEarn #answertoearn;[{'label': 'Positive', 'score': 0.891499936580658}];Positive;0.891499936580658;2022-05-09
