;id;url;created_at;author_id;conversation_id;in_reply_to_user_id;reply_count;like_count;retweet_count;quote_count;context_annotations;raw_text;type;text;sentiment_dict;sentiment_roberta;score_roberta;date
341;1524847694514208783;https://twitter.com/twitter/statuses/1524847694514208783;2022-05-12 20:23:15+00:00;1434867526060621835;1524847694514208783;;15;62;5;0;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"STEPN EVERDAY will keep the doctor away! Excited to join the 300km club. Remember to always be kind to yourselves and others! 

#STEPN #Family #MoveToEarn #cryptocurrency #Solana https://t.co/U0A7IBnwQ9";recent;STEPN EVERDAY will keep the doctor away Excited to join the 300km club Remember to always be kind to yourselves and others #STEPN #Family #MoveToEarn #cryptocurrency #Solana https://t.co/U0A7IBnwQ9;[{'label': 'Positive', 'score': 0.9775193929672241}];Positive;0.9775193929672241;2022-05-12
361;1524865839413051403;https://twitter.com/twitter/statuses/1524865839413051403;2022-05-12 21:35:21+00:00;1350479169034006531;1524865839413051403;;14;98;4;3;"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '849076092111536128', 'name': 'Adventure travel', 'description': 'Adventure travel'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1047106825076670464', 'name': 'Hiking', 'description': 'Hiking'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '839160129752686593', 'name': 'General Travel', 'description': 'General Travel'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839161975712067584', 'name': 'Travel Actions', 'description': 'This entity includes all conversations about travel and vacation.'}}]";"What if STEPN also made NFT sneakers for hiking that looked at total altitude change over the period of the hike. So, similar to how ""runners"" get a GST boost for going quick, what if hikers got a boost based on ""altitude gained""? Trail runners would be dominant haha!";recent;"What if STEPN also made NFT sneakers for hiking that looked at total altitude change over the period of the hike So similar to how ""runners get a GST boost for going quick what if hikers got a boost based on ""altitude gained"" Trail runners would be dominant haha!";[{'label': 'Positive', 'score': 0.60479736328125}];Positive;0.60479736328125;2022-05-12
360;1524865908040253449;https://twitter.com/twitter/statuses/1524865908040253449;2022-05-12 21:35:37+00:00;1350479169034006531;1524865908040253449;;1;7;0;0;"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1277995430236680192', 'name': 'Outdoors'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '849076092111536128', 'name': 'Adventure travel', 'description': 'Adventure travel'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1047106825076670464', 'name': 'Hiking', 'description': 'Hiking'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '839160129752686593', 'name': 'General Travel', 'description': 'General Travel'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839161975712067584', 'name': 'Travel Actions', 'description': 'This entity includes all conversations about travel and vacation.'}}]";I know you hike with STEPN @jameswerk - Thoughts? https://t.co/6SZILbPEA7;recent;I know you hike with STEPN Thoughts https://t.co/6SZILbPEA7;[{'label': 'Neutral', 'score': 0.6203011870384216}];Neutral;0.6203011870384216;2022-05-12
359;1524866285686824961;https://twitter.com/twitter/statuses/1524866285686824961;2022-05-12 21:37:07+00:00;1368432781991108610;1524866285686824961;;6;66;9;3;"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}]";"Shoe prices are finally going up! 

#STEPN #FP #FloorPrice #NFT #Sneakers #ShoeBox #Mint #Gem #GST #GMT #Solana #M2E #Move2Earn #바닥가 #フロアプライス https://t.co/z3ARJcH05U";recent;Shoe prices are finally going up #STEPN #FP #FloorPrice #NFT #Sneakers #ShoeBox #Mint #Gem #GST #GMT #Solana #M2E #Move2Earn #바닥 #フロアプライ https://t.co/z3ARJcH05U;[{'label': 'Neutral', 'score': 0.5764486193656921}];Neutral;0.5764486193656921;2022-05-12
358;1524866424971284480;https://twitter.com/twitter/statuses/1524866424971284480;2022-05-12 21:37:41+00:00;1368432781991108610;1524866424971284480;;2;40;9;0;"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1372588659346612225', 'name': 'Binance'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1001503516555337728', 'name': 'Blockchain', 'description': 'Blockchain'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}]";Please note that the GST price is much pricier on Binance Blockchain, and is not to be confused with Solana STEPN prices. #STEPN #FP #FloorPrice #NFT #Sneakers #ShoeBox #Mint #Gem #GST #GMT #Binance #BNB #BEP20 #M2E #Move2Earn #바닥가 #フロアプライス https://t.co/7NHBLaRdgj;recent;Please note that the GST price is much pricier on Binance Blockchain and is not to be confused with Solana STEPN prices #STEPN #FP #FloorPrice #NFT #Sneakers #ShoeBox #Mint #Gem #GST #GMT #Binance #BNB #BEP20 #M2E #Move2Earn #바닥 #フロアプライ https://t.co/7NHBLaRdgj;[{'label': 'Neutral', 'score': 0.8436843156814575}];Neutral;0.8436843156814575;2022-05-12
258;1524837269227589647;https://twitter.com/twitter/statuses/1524837269227589647;2022-05-12 19:41:49+00:00;1447519260016738310;1524837269227589647;;5;15;12;0;[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}];"10 #STEPN CODES GIVEAWAY🔥

•Follow Me
•Like Tweet
•RT

Result in 2 hours🔥 #stepncode https://t.co/Z5gUOpu3HN";recent;10 #STEPN CODES GIVEAWAY🔥 •Follow Me •Like Tweet •RT Result in 2 hours #stepncode https://t.co/Z5gUOpu3HN;[{'label': 'Positive', 'score': 0.5317862033843994}];Positive;0.5317862033843994;2022-05-12
252;1524837634052603904;https://twitter.com/twitter/statuses/1524837634052603904;2022-05-12 19:43:16+00:00;1415259445546921990;1524837634052603904;;11;86;72;3;"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277139233103872', 'name': 'Behavior around fashion', 'description': 'Behavior around Fashion'}}]";"Marathon. cash is not just #Race2Earn but also provides best NFTs utility!

Marketplace is live check it out https://market.marathon. cash

Buy shoes,goggles,sunglasses and bottles NFTs to strengthen your power and get more chances to win marathon race
#Stepn #MoveToEarn https://t.co/CBgHBKzqRC";recent;Marathon cash is not just #Race2Earn but also provides best NFTs utility! Marketplace is live check it out https://market.marathon cash Buy shoes,goggles,sunglasses and bottles NFTs to strengthen your power and get more chances to win marathon race #Stepn #MoveToEarn https://t.co/CBgHBKzqRC;[{'label': 'Positive', 'score': 0.934674859046936}];Positive;0.934674859046936;2022-05-12
306;1524852163129663488;https://twitter.com/twitter/statuses/1524852163129663488;2022-05-12 20:41:00+00:00;1296581802576900096;1524852163129663488;;4;9;1;0;[];Giving out #STEPN activation codes in this thread. Have fun Stepping friends!;recent;Giving out #STEPN activation codes in this thread Have fun Stepping friends!;[{'label': 'Positive', 'score': 0.9335182309150696}];Positive;0.9335182309150696;2022-05-12
376;1524863995982790662;https://twitter.com/twitter/statuses/1524863995982790662;2022-05-12 21:28:01+00:00;40240747;1524863995982790662;;1;7;0;0;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"Now that's smart.
Start a club on your biggest competitor. Grow into a massive club and make people wonder. What is this Step'n thing?

@Stepnofficial #STEPN #Solana https://t.co/84JBmDuOxd";recent;Now that's smart. Start a club on your biggest competitor Grow into a massive club and make people wonder What is this Step'n thing? #STEPN #Solana https://t.co/84JBmDuOxd;[{'label': 'Neutral', 'score': 0.47705525159835815}];Neutral;0.47705525159835815;2022-05-12
482;1524893934887096323;https://twitter.com/twitter/statuses/1524893934887096323;2022-05-12 23:26:59+00:00;3096975460;1524883184420212739;1.4581190142788567e+18;1;6;1;0;"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}]";@ktrainUSA_STEPN @theinvestmint Completely agree. No better long term hedge against this bear market in my opinion. Cash flow and appreciation of sneakers, $gmt and $gst.;recent;_STEPN Completely agree No better long term hedge against this bear market in my opinion Cash flow and appreciation of sneakers $gmt and $gst.;[{'label': 'Positive', 'score': 0.519046425819397}];Positive;0.519046425819397;2022-05-12
