date;sentiment_roberta;sentiment_roberta
28.04.2022;Negative;36
28.04.2022;Neutral;469
28.04.2022;Positive;1153
29.04.2022;Negative;23
29.04.2022;Neutral;322
29.04.2022;Positive;1467
30.04.2022;Negative;33
30.04.2022;Neutral;330
30.04.2022;Positive;384
01.05.2022;Negative;39
01.05.2022;Neutral;254
01.05.2022;Positive;125
02.05.2022;Negative;89
02.05.2022;Neutral;215
02.05.2022;Positive;284
03.05.2022;Negative;22
03.05.2022;Neutral;120
03.05.2022;Positive;1249
04.05.2022;Negative;19
04.05.2022;Neutral;128
04.05.2022;Positive;335
05.05.2022;Negative;7
05.05.2022;Neutral;49
05.05.2022;Positive;43
