;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text
0;1518016201200484352;2022-04-23 23:57:20+00:00;thewebbix;False;Lakeland, FL;31262;31656;225675;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
1;1518016171890511873;2022-04-23 23:57:13+00:00;RabbitHole_BB;False;#thelittlethings;362;2157;246363;0;390;[];[{'screen_name': 'eamonsphotoss', 'name': 'Eamon 🌃', 'id': 1208182934945054722, 'id_str': '1208182934945054722', 'indices': [3, 17]}];landscapes across america https://t.co/3dipJqy1wZ
2;1518015936502108160;2022-04-23 23:56:17+00:00;erosen1;False;Philly from MoCo MD;5744;6791;37294;0;19;[];[{'screen_name': 'SurfsUpBodhi', 'name': 'Bodhi Sattva - 🇺🇦 #IStandWithUkraine 🇺🇸', 'id': 1119014143590305797, 'id_str': '1119014143590305797', 'indices': [3, 16]}];"Even USING the tag makes you their pawn as you're keeping it trending. 

Use your brain to outthink these people, s… https://t.co/oxGvQrGrpB"
3;1518015599506456576;2022-04-23 23:54:56+00:00;rbmumsie;False;Colorado,  USA ;1174;1539;208017;0;49;[];[{'screen_name': 'SurfsUpBodhi', 'name': 'Bodhi Sattva - 🇺🇦 #IStandWithUkraine 🇺🇸', 'id': 1119014143590305797, 'id_str': '1119014143590305797', 'indices': [3, 16]}];"⚡️ “Should you still wear a mask on planes, trains, and buses? ”

YES. 

Don't be a redshirt. COVID wasn't a thing… https://t.co/KIFlTVmnHy"
4;1518014308226981888;2022-04-23 23:49:49+00:00;hessom_kirby;False;92311;1569;594;6282;0;64;[];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];I'm sure it warms the hearts of the evangelical family values crowd to see all the photos of Trump, without the str… https://t.co/BMwLh3SFN7
5;1518014147610488833;2022-04-23 23:49:10+00:00;IsaacsonSchmid;False;;157;120;5987;0;56;[{'text': 'BlueVoicesFL', 'indices': [66, 79]}, {'text': 'DeSantisDestroysFlorida', 'indices': [80, 104]}, {'text': 'DemocracyNotAutocracy', 'indices': [105, 127]}, {'text': 'Rabbithole', 'indices': [128, 139]}];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];I think many Floridians will agree with Val! #BlueVoicesFL #DeSantisDestroysFlorida #DemocracyNotAutocracy… https://t.co/k9wKNQLRzS
6;1518014018564329473;2022-04-23 23:48:40+00:00;SurfsUpBodhi;False;Center of Idiocracy;12632;13641;69262;25;19;[];[];"Even USING the tag makes you their pawn as you're keeping it trending. 

Use your brain to outthink these people, s… https://t.co/oxGvQrGrpB"
7;1518013412067880960;2022-04-23 23:46:15+00:00;mdot270inCA;False;Bay Area, CA;300;306;6747;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
8;1518013278827388929;2022-04-23 23:45:43+00:00;sanglo999;False;California, USA;1378;267;25709;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
9;1518013268035620864;2022-04-23 23:45:41+00:00;erosen1;False;Philly from MoCo MD;5744;6791;37294;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
